STATE.x,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP,STATE.y,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
13,130367,0,4,5,28,1,0,0,0,311,0,3,7,9,7,8,7,8,8,8,8,310,0,13,2,1,1,4,5,1,2,45,0,7,4,2017,6,3,10,1,2,1,1,1,I-20,NA,142,33.72193333,-84.94430556,0,18,0,0,1,1,1,4,2,1,0,1,0,0,3,1,3,10,3,58,0,0,0,1,1
13,130369,0,1,5,48,2,0,0,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0,13,1,1,0,1,1,1,1,51,4910,7,4,2017,6,0,11,1,2,3,4,6,SKIDAWAY RD,NA,1,32.03833056,-81.06569444,0,8,0,0,1,1,0,1,2,1,0,1,0,0,0,2,0,6,0,18,0,0,0,1,0
13,130377,0,1,5,8,1,0,0,0,312,0,3,7,3,7,8,7,8,8,8,8,310,0,13,1,1,0,1,1,4,4,275,0,9,4,2017,1,12,52,0,2,7,4,6,OAK TRACE DR,NA,0,30.80818889,-83.94033889,0,8,0,0,1,1,0,1,1,1,0,1,0,0,12,46,12,50,13,1,0,0,0,1,0
13,130379,0,1,5,59,2,1,1,0,410,0,3,7,5,7,8,7,8,8,8,8,400,0,13,1,1,0,1,1,1,1,67,0,10,4,2017,2,20,7,0,2,4,2,4,CR-2373 FLOYD RD,NA,27,33.853975,-84.58858333,0,53,0,0,1,1,0,4,3,1,0,1,0,0,20,7,20,11,20,25,0,0,0,1,0
13,130388,0,1,5,49,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,13,1,1,0,1,1,1,1,135,0,13,4,2017,5,22,35,0,2,4,1,3,SR-124,NA,232,34.06283611,-83.92655278,0,8,0,0,1,1,0,1,2,10,0,10,0,0,99,98,99,98,88,88,0,0,0,1,0
13,130400,0,1,5,82,1,0,1,0,781,0,3,7,3,7,8,7,8,8,8,8,790,0,13,1,1,0,1,1,1,1,89,1060,18,2,2017,7,13,16,0,2,4,4,6,SHALLOWFORD ROAD,NA,2,33.88621944,-84.28504167,0,8,0,0,8,1,0,1,1,10,0,10,0,0,13,16,13,30,14,3,0,0,0,1,0
13,130412,0,1,5,53,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,13,1,1,0,1,1,1,1,95,90,18,4,2017,3,4,59,0,2,4,4,6,RADIUM SPRINGS ROAD,NA,12,31.56760833,-84.14053611,0,8,0,0,1,1,0,1,2,1,0,1,0,0,99,98,99,98,88,88,0,0,0,1,0
13,130430,0,1,5,43,2,1,1,0,620,0,2,7,3,7,3,7,2,3,2,4a,600,0,13,1,1,0,1,1,1,1,135,3990,22,4,2017,7,3,50,0,2,4,4,6,INDIAN TRAIL LILBURN ROAD,WILLOW TRAIL PARKWAY,19,33.92586944,-84.17453611,0,8,0,0,3,2,0,1,3,1,0,1,0,0,99,98,99,98,88,88,0,0,0,1,0
13,130444,0,1,5,71,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,13,1,1,0,1,1,1,1,117,0,27,4,2017,5,6,19,0,2,4,2,4,CR-WINDMERE PARKWAY,NA,30,34.13413056,-84.12025,0,8,0,0,8,1,0,1,3,10,0,10,0,0,6,19,6,28,6,55,0,0,0,1,0
13,130445,0,1,5,52,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,13,1,1,0,1,1,1,1,135,3990,27,4,2017,5,3,47,1,2,3,4,6,JIMMY CARTER BOULEVARD,NA,7,33.87789167,-84.18869722,0,8,0,0,1,1,0,1,2,1,0,1,0,0,3,50,3,58,4,21,0,0,0,1,0
